id;parcel_id;driver_id;request_time;assigned_time;estimated_time;ended_time;star_received
1;61666;21814;2023-04-02T11:32:04;2023-04-02T05:01:36;2023-04-01T15:48:52;2023-04-02T07:26:33;2
2;81334;77944;2023-04-02T02:28:07;2023-04-02T01:10:00;2023-04-01T19:02:40;2023-04-01T22:58:22;2
3;69519;48081;2023-04-01T19:44:24;2023-04-01T20:03:15;2023-04-01T16:04:18;2023-04-01T23:01:04;3
4;64976;21778;2023-04-02T00:10:57;2023-04-02T09:10:45;2023-04-02T07:15:48;2023-04-02T08:01:06;0
5;39629;95459;2023-04-01T16:23:41;2023-04-01T23:34:37;2023-04-02T08:04:58;2023-04-02T02:34:57;1
6;88205;21314;2023-04-02T09:29:07;2023-04-02T05:28:46;2023-04-01T23:15:57;2023-04-02T13:58:34;2
7;87386;88450;2023-04-01T18:19:12;2023-04-02T00:36:57;2023-04-01T15:34:47;2023-04-02T02:26:09;3
8;62341;23216;2023-04-01T19:53:03;2023-04-02T12:08:17;2023-04-01T17:45:25;2023-04-01T16:22:54;5
9;8533;39028;2023-04-02T07:08:04;2023-04-02T07:49:08;2023-04-02T04:16:49;2023-04-01T21:32:32;3
10;30612;86798;2023-04-01T19:16:51;2023-04-02T00:19:42;2023-04-02T12:24:40;2023-04-01T15:42:30;2
